student_id,class_id,attendance_rate,participation_rate,correctness_rate,semantic_score,engagement_score,consistency_score,response_time,recent_activity_count,xp,level,badges_count,streak,weak_concepts_count,risk_label
stu_00001,class_040,82.65,79.79,86.18,96.61,81.71,81.16,26.23,10.0,1791.0,8.0,4.0,8.0,0.0,low
stu_00002,class_010,53.5,47.47,35.99,31.67,55.29,68.77,29.04,8.0,1005.0,5.0,2.0,11.0,2.0,medium
stu_00003,class_030,36.22,62.2,34.44,47.62,46.18,60.62,41.55,10.0,1549.0,7.0,2.0,15.0,1.0,medium
stu_00004,class_008,88.13,82.74,85.79,94.06,83.99,87.03,28.48,9.0,1772.0,8.0,4.0,5.0,0.0,low
stu_00005,class_014,82.05,92.61,70.7,67.58,75.22,59.59,25.43,17.0,2178.0,9.0,4.0,32.0,0.0,low
stu_00006,class_034,75.71,67.16,80.39,84.49,76.84,73.39,22.48,8.0,1481.0,6.0,3.0,10.0,0.0,low
stu_00007,class_035,43.51,33.19,66.93,74.71,47.83,51.35,30.34,0.0,851.0,4.0,2.0,0.0,1.0,medium
stu_00008,class_009,74.71,62.78,82.43,81.66,73.23,80.92,21.02,12.0,1582.0,7.0,3.0,14.0,0.0,low
stu_00009,class_039,94.37,64.07,77.3,80.61,71.3,31.38,20.27,0.0,1342.0,6.0,3.0,0.0,0.0,low
stu_00010,class_022,83.58,74.95,40.84,31.13,63.72,23.3,21.42,1.0,895.0,4.0,1.0,0.0,7.0,high
stu_00011,class_032,66.9,88.33,88.74,91.02,78.31,94.22,26.44,11.0,1797.0,8.0,4.0,18.0,0.0,low
stu_00012,class_002,86.85,84.87,83.95,80.61,81.65,98.86,15.44,7.0,1696.0,7.0,4.0,7.0,0.0,low
stu_00013,class_005,20.19,9.45,60.01,57.65,30.92,45.67,173.07,3.0,306.0,2.0,0.0,5.0,5.0,high
stu_00014,class_025,69.96,74.19,28.72,71.45,55.63,71.35,20.46,8.0,4696.0,18.0,8.0,16.0,2.0,medium
stu_00015,class_003,43.97,34.75,94.37,79.62,62.94,88.22,22.05,16.0,1873.0,8.0,3.0,15.0,1.0,low
stu_00016,class_016,73.1,56.15,60.66,58.55,62.81,59.69,22.01,4.0,996.0,4.0,1.0,4.0,1.0,medium
stu_00017,class_013,,51.26,63.12,68.39,64.91,67.66,14.43,9.0,1063.0,5.0,2.0,12.0,1.0,medium
stu_00018,class_002,80.2,84.24,61.49,50.85,79.85,82.67,23.6,10.0,1636.0,7.0,4.0,6.0,0.0,low
stu_00019,class_010,81.96,86.33,92.75,94.44,72.58,,23.36,0.0,1785.0,8.0,5.0,0.0,0.0,low
stu_00020,class_022,81.65,81.91,78.32,69.89,82.64,76.61,28.79,8.0,1578.0,7.0,4.0,6.0,1.0,low
stu_00021,class_024,76.26,83.45,46.58,61.3,72.49,95.54,,10.0,1564.0,7.0,4.0,14.0,4.0,low
stu_00022,class_036,38.54,15.97,77.78,74.6,39.93,14.87,45.08,3.0,268.0,2.0,1.0,1.0,5.0,high
stu_00023,class_025,57.15,31.84,84.17,82.94,53.08,46.95,93.74,3.0,731.0,3.0,3.0,2.0,0.0,medium
stu_00024,class_019,81.52,95.63,87.29,70.89,88.65,91.06,19.68,11.0,2009.0,9.0,5.0,13.0,0.0,low
stu_00025,class_011,29.03,15.22,54.09,54.91,30.72,28.19,20.67,5.0,491.0,2.0,0.0,8.0,4.0,high
stu_00026,class_010,77.69,35.08,50.19,48.82,52.56,57.84,35.28,3.0,640.0,3.0,1.0,1.0,2.0,medium
stu_00027,class_033,82.06,96.01,90.97,87.03,81.62,35.77,40.96,0.0,2073.0,9.0,5.0,0.0,0.0,low
stu_00028,class_012,,52.51,43.8,31.61,64.41,67.95,37.78,9.0,1212.0,5.0,1.0,15.0,0.0,medium
stu_00029,class_003,97.03,100.0,90.22,82.03,94.95,88.26,21.58,13.0,2275.0,10.0,6.0,16.0,0.0,low
stu_00030,class_039,29.35,24.38,17.04,16.21,29.2,54.94,72.24,5.0,648.0,3.0,0.0,5.0,5.0,high
stu_00031,class_035,77.46,91.6,91.71,78.5,85.3,91.35,23.03,17.0,1969.0,8.0,4.0,14.0,0.0,low
stu_00032,class_006,72.0,39.32,64.79,72.66,57.58,42.69,28.43,5.0,887.0,4.0,1.0,7.0,3.0,medium
stu_00033,class_009,26.24,49.47,94.3,78.23,57.55,88.31,35.96,5.0,1619.0,7.0,5.0,2.0,0.0,low
stu_00034,class_033,93.66,73.36,100.0,,79.04,28.7,13.47,0.0,1347.0,6.0,4.0,0.0,0.0,low
stu_00035,class_032,97.23,59.36,57.91,46.79,70.37,46.57,21.41,5.0,1276.0,6.0,2.0,10.0,2.0,medium
